2024-06-03 10:32:34,779 INFO    StreamThr :30447 [internal.py:wandb_internal():87] W&B internal server running at pid: 30447, started at: 2024-06-03 10:32:34.777999
2024-06-03 10:32:34,781 DEBUG   HandlerThread:30447 [handler.py:handle_request():144] handle_request: status
2024-06-03 10:32:34,782 INFO    WriterThread:30447 [datastore.py:open_for_write():85] open: /mnt/c/Users/sammu/Documents/WGU/D501MLDevOps/pythonProject/ProjectBuildanMLPipelineStarter/src/train_random_forest/wandb/run-20240603_103234-3ctxabrb/run-3ctxabrb.wandb
2024-06-03 10:32:34,784 DEBUG   SenderThread:30447 [sender.py:send():334] send: header
2024-06-03 10:32:34,835 DEBUG   SenderThread:30447 [sender.py:send():334] send: run
2024-06-03 10:32:35,197 INFO    SenderThread:30447 [dir_watcher.py:__init__():216] watching files in: /mnt/c/Users/sammu/Documents/WGU/D501MLDevOps/pythonProject/ProjectBuildanMLPipelineStarter/src/train_random_forest/wandb/run-20240603_103234-3ctxabrb/files
2024-06-03 10:32:35,197 INFO    SenderThread:30447 [sender.py:_start_run_threads():1065] run started: 3ctxabrb with start time 1717435954.779622
2024-06-03 10:32:35,197 DEBUG   SenderThread:30447 [sender.py:send_request():361] send_request: summary_record
2024-06-03 10:32:35,198 DEBUG   HandlerThread:30447 [handler.py:handle_request():144] handle_request: check_version
2024-06-03 10:32:35,201 INFO    SenderThread:30447 [sender.py:_save_file():1319] saving file wandb-summary.json with policy end
2024-06-03 10:32:35,203 DEBUG   SenderThread:30447 [sender.py:send_request():361] send_request: check_version
2024-06-03 10:32:35,313 DEBUG   HandlerThread:30447 [handler.py:handle_request():144] handle_request: run_start
2024-06-03 10:32:35,314 DEBUG   HandlerThread:30447 [system_info.py:__init__():31] System info init
2024-06-03 10:32:35,314 DEBUG   HandlerThread:30447 [system_info.py:__init__():46] System info init done
2024-06-03 10:32:35,315 INFO    HandlerThread:30447 [system_monitor.py:start():151] Starting system monitor
2024-06-03 10:32:35,315 INFO    SystemMonitor:30447 [system_monitor.py:_start():116] Starting system asset monitoring threads
2024-06-03 10:32:35,315 INFO    HandlerThread:30447 [system_monitor.py:probe():172] Collecting system info
2024-06-03 10:32:35,316 INFO    SystemMonitor:30447 [interfaces.py:start():168] Started cpu
2024-06-03 10:32:35,317 INFO    SystemMonitor:30447 [interfaces.py:start():168] Started disk
